id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,place,is_touch,Cluster
167,3,2025-01-19 15:23:43,10,111,Sunday,168,295,288,412,home,True,2
168,5,2025-01-19 15:23:49,59,830,Sunday,390,52,744,377,home,True,3
169,3,2025-01-19 15:24:33,21,66,Sunday,197,185,342,359,home,False,3
170,5,2025-01-19 15:24:34,21,83,Sunday,414,530,634,719,home,True,3
171,8,2025-01-19 15:24:48,33,772,Sunday,602,244,766,348,home,True,1
172,5,2025-01-19 15:24:51,6,112,Sunday,423,526,645,712,home,True,0
173,5,2025-01-19 15:25:21,11,190,Sunday,423,527,646,710,home,True,0
174,8,2025-01-19 15:25:31,19,545,Sunday,358,338,421,510,home,False,3
175,9,2025-01-19 15:25:43,62,838,Sunday,346,359,395,420,home,True,2
176,8,2025-01-19 15:26:17,14,310,Sunday,382,390,418,586,home,False,3
177,9,2025-01-19 15:26:18,2,54,Sunday,593,305,850,477,home,True,3
178,5,2025-01-19 15:26:31,27,813,Sunday,341,26,688,372,home,True,3
179,8,2025-01-19 15:27:00,32,945,Sunday,350,394,452,579,home,True,1
180,5,2025-01-19 15:27:32,20,261,Sunday,0,113,310,434,home,True,0
181,5,2025-01-19 15:27:39,108,2761,Sunday,220,120,797,518,home,True,3
182,5,2025-01-19 15:29:28,15,103,Sunday,114,81,811,536,home,True,0
183,5,2025-01-19 15:29:28,4,57,Sunday,0,199,336,656,home,True,0
184,12,2025-01-19 15:29:34,15,55,Sunday,373,427,431,479,home,True,1
185,5,2025-01-19 15:29:40,32,319,Sunday,236,80,812,537,home,True,3
186,8,2025-01-19 15:29:44,8,107,Sunday,284,439,482,550,home,True,2
187,5,2025-01-19 15:29:51,20,103,Sunday,99,460,377,715,home,True,0
188,5,2025-01-19 15:29:52,92,390,Sunday,100,460,376,715,home,True,3
189,2,2025-01-19 15:30:08,37,119,Sunday,140,338,312,505,home,False,0
190,16,2025-01-19 15:30:12,21,106,Sunday,632,0,839,97,home,True,0
191,8,2025-01-19 15:30:13,6,63,Sunday,459,189,584,296,home,True,2
192,8,2025-01-19 15:30:15,3,104,Sunday,475,202,594,302,home,True,2
193,8,2025-01-19 15:30:32,15,217,Sunday,466,224,585,338,home,True,2
194,4,2025-01-19 15:30:34,25,117,Sunday,954,0,1065,91,home,False,2
195,5,2025-01-19 15:30:44,65,220,Sunday,98,456,371,714,home,True,3
196,5,2025-01-19 15:30:44,22,100,Sunday,188,78,745,494,home,True,3
197,8,2025-01-19 15:30:45,12,256,Sunday,458,208,605,338,home,True,2
198,5,2025-01-19 15:31:09,40,257,Sunday,162,137,735,503,home,True,3
199,8,2025-01-19 15:31:17,11,86,Sunday,487,124,622,250,home,True,2
